Date,品类,金额,分类,备注	
2019.07,妆品,29.9,口红,miniso
2019.08,妆品,314,眼霜+精华,Olay 15mla醇眼霜 送40ml淡斑精华
2019.08,妆品,99,寡肽,0
2019.08,妆品,450,欧莱雅精华,0
2019.09,妆品,218,城野面霜,面霜+吸油纸
2019.10,妆品,185,兰蔻圣诞套装,面霜15*2+面膜15*2+水*2+精华7+10+5+眼霜5+5+5
2019.10,妆品,187,兰蔻凑单,紫色面霜15+面膜15
2019.10,妆品,194,科颜氏洗面奶,送眼霜3+1.5*4
2019.10,妆品,152,elt洗面奶,0
2019.06,书籍电子,1070,0,修手机
2019.06,额外,1099,个人,健身卡
2019.05,额外,250,人情礼物,佳琳
2019.05,额外,100,人情礼物,姑妈双飞人
2019.09,额外,2050,人情礼物,爸爸电脑
2019.09,额外,403,人情礼物,凉凉结婚
2019.09,额外,116,人情礼物,猪猪生日
2019.10,额外,14497.22,医疗保险,0
2019.06,书籍电子,1070,0,修手机
2019.06,额外,1099,个人,健身卡
2019.05,额外,250,人情礼物,佳琳
2019.05,额外,100,人情礼物,姑妈双飞人
2019.09,额外,2050,人情礼物,爸爸电脑
2019.09,额外,403,人情礼物,凉凉结婚
2019.09,额外,116,人情礼物,猪猪生日
2019.10,额外,14497.22,医疗保险,0
2019.10,日用,99,0,打汁机
2019.10,日用,151.05,0,止汗剂
2019.10,日用,34.38,0,架子
2019.10,日用,88,0,88会员
2019.11,衣服,40,袜子,迪卡侬
0,0,0,0,0
